Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
300a45df-4720-4fc1-939d-3bca6d9aaac5,"2020-05-23, 11:55:43 PM",CloudTrail,ListTopics,,,,us-west-1,,41.190.14.91
7464e6cf-48b7-474d-a9a8-b19fee398fc8,"2020-05-23, 11:55:43 PM",CloudTrail,ListKeys,,,,us-west-1,,41.190.14.91
9c62d960-e6be-4896-bdbd-7a26e48aa82d,"2020-05-23, 11:55:43 PM",CloudTrail,DescribeTrails,,,,us-west-1,,41.190.14.91
9de02102-cbc7-4e2a-9b46-1e419b326e68,"2020-05-23, 11:55:43 PM",CloudTrail,ListFunctions20150331,,,,us-west-1,,41.190.14.91
ce1bc63a-0ae2-4856-b65f-b94c247d692a,"2020-05-23, 11:55:43 PM",CloudTrail,ListAliases,,,,us-west-1,,41.190.14.91
cf3882e7-a8f8-4074-817e-969f80d1e040,"2020-05-23, 11:55:39 PM",CloudTrail,DescribeConfigurationRecorders,,,,us-west-1,AccessDenied,41.190.14.91
57e74ad7-a820-4614-9a08-d6dadaff8a0a,"2020-05-23, 11:55:38 PM",CloudTrail,LookupEvents,,,,us-west-1,,41.190.14.91
b67c328f-b24a-43f5-9ba7-b5274b51828f,"2020-05-23, 11:55:38 PM",CloudTrail,LookupEvents,,,,us-west-1,,41.190.14.91
e20928c3-2f5d-4ebb-89b0-5e1fcf0e9028,"2020-05-23, 11:55:32 PM",CloudTrail,ListBuckets,,,,us-west-1,,41.190.14.91
4efd84ba-e212-42ef-b5a1-d0e92bcd6c40,"2020-05-23, 11:55:31 PM",CloudTrail,DescribeTrails,,,,us-west-1,,41.190.14.91
4310bd23-62cc-4566-82a4-88ae102593a6,"2020-05-23, 11:54:00 PM",Accountant,ListServiceSpecificCredentials,,,,us-east-1,AccessDenied,41.190.14.91
6012dfcc-d812-403f-9a9a-f1c1ee608218,"2020-05-23, 11:54:00 PM",Accountant,GetUser,,,,us-east-1,AccessDenied,41.190.14.91
